GeoFips,GeoName,2017,2018,2019,2020,2021
1001,"Autauga, AL",40185,41243,42846,45248,48347
1003,"Baldwin, AL",44870,46247,48380,51348,54659
1005,"Barbour, AL",32167,33328,34870,37120,40428
1007,"Bibb, AL",28912,30060,31800,34598,36892
1009,"Blount, AL",33922,35291,36542,38351,42634
1011,"Bullock, AL",25784,26147,27192,30429,33267
1013,"Butler, AL",35785,36548,39254,41151,46050
1015,"Calhoun, AL",34852,35696,36869,39546,42621
1017,"Chambers, AL",31372,32555,33682,36299,39728
1019,"Cherokee, AL",35613,37085,37751,39416,43719
1021,"Chilton, AL",33394,34584,36195,38551,41748
1023,"Choctaw, AL",36292,37699,38651,41413,44241
1025,"Clarke, AL",34956,35755,37426,41862,45232
1027,"Clay, AL",30213,31060,32059,34660,38705
1029,"Cleburne, AL",34937,35486,35819,37670,42836
1031,"Coffee, AL",40465,41808,43164,45466,49196
1033,"Colbert, AL",35960,36559,37912,41088,44279
1035,"Conecuh, AL",31642,33205,34183,37887,41656
1037,"Coosa, AL",30656,31901,33311,35542,38275
1039,"Covington, AL",34194,35037,35472,37777,41458
1041,"Crenshaw, AL",36357,37271,37965,39921,46038
1043,"Cullman, AL",37180,38185,40047,41925,46061
1045,"Dale, AL",35135,36200,37574,40032,43916
1047,"Dallas, AL",32503,33336,35069,38762,41850
1049,"DeKalb, AL",31098,32174,33015,34999,40026
1051,"Elmore, AL",39804,40533,42234,44683,47381
1053,"Escambia, AL",31804,32168,33325,36134,39363
1055,"Etowah, AL",35341,36282,37407,39795,42558
1057,"Fayette, AL",33214,34042,35733,37852,41672
1059,"Franklin, AL",31973,33380,34382,37151,40810
1061,"Geneva, AL",33608,34381,36154,38132,41569
1063,"Greene, AL",31715,31609,33294,36851,40461
1065,"Hale, AL",34904,35303,37619,40633,44085
1067,"Henry, AL",40669,42030,44657,46518,51184
1069,"Houston, AL",40725,42326,44250,47648,50976
1071,"Jackson, AL",34966,36085,37180,39664,43565
1073,"Jefferson, AL",51404,53421,55052,58053,62371
1075,"Lamar, AL",31953,32641,34162,36737,40114
1077,"Lauderdale, AL",35472,36563,38681,41778,44804
1079,"Lawrence, AL",32375,33717,35643,38225,42996
1081,"Lee, AL",35912,36710,39355,41760,45002
1083,"Limestone, AL",40885,42696,44672,47397,50326
1085,"Lowndes, AL",37210,37500,40270,43398,48852
1087,"Macon, AL",29354,30161,31670,34888,38412
1089,"Madison, AL",48709,50562,53160,56499,59852
1091,"Marengo, AL",36174,38278,39394,43596,47008
1093,"Marion, AL",31981,32720,33714,36927,40939
1095,"Marshall, AL",34713,35732,37819,40676,44416
1097,"Mobile, AL",36930,38029,39453,42837,46418
1099,"Monroe, AL",32846,33748,35416,39339,42872
1101,"Montgomery, AL",41933,42741,43593,47054,50337
1103,"Morgan, AL",37486,38950,40831,44204,47479
1105,"Perry, AL",31279,31414,32885,37160,40414
1107,"Pickens, AL",33082,33911,35986,38631,43039
1109,"Pike, AL",36005,36625,37580,40730,44659
1111,"Randolph, AL",32976,34029,35044,36845,41750
1113,"Russell, AL",32128,31750,33141,35878,39378
1115,"St. Clair, AL",37467,39404,41418,43673,47117
1117,"Shelby, AL",52740,54883,57963,60598,64350
1119,"Sumter, AL",30223,30308,32079,35200,38253
1121,"Talladega, AL",32544,33500,35072,37554,40668
1123,"Tallapoosa, AL",38372,39621,42151,44772,48344
1125,"Tuscaloosa, AL",35730,36664,37898,40463,43439
1127,"Walker, AL",38055,39164,41267,43568,47239
1129,"Washington, AL",36159,37413,38414,41642,45956
1131,"Wilcox, AL",30540,31590,33078,36742,39354
1133,"Winston, AL",33484,34114,35599,38472,41700
2010,"Aleutian Islands Census Area, AK*",(NA),(NA),(NA),(NA),(NA)
2013,"Aleutians East Borough, AK*",58767,56813,60712,57605,60174
2016,"Aleutians West Census Area, AK*",55791,58808,60610,63509,65812
2020,"Anchorage Municipality, AK",63261,66067,67317,68815,72032
2050,"Bethel Census Area, AK*",41984,44376,44649,46299,48189
2060,"Bristol Bay Borough, AK",121380,135385,136337,138387,155155
2063,"Chugach Census Area, AK*",(NA),(NA),(NA),64386,70362
2066,"Copper River Census Area, AK*",(NA),(NA),(NA),52522,55378
2068,"Denali Borough, AK*",95284,104917,102888,91233,107916
2070,"Dillingham Census Area, AK*",57740,58673,58303,59097,61572
2090,"Fairbanks North Star Borough, AK",53907,56887,59011,61856,65314
2100,"Haines Borough, AK*",74287,83985,86528,81888,88152
2105,"Hoonah-Angoon Census Area, AK*",56821,58126,59560,56226,60837
