GeoFips,GeoName,1999,2000,2001,2002,2003,2004,2005,2006,2007
1001,"Autauga, AL",22878,23631,24632,24990,26371,27693,29048,30008,31769
1003,"Baldwin, AL",25450,26829,27214,27560,28299,30726,32768,35335,36610
1005,"Barbour, AL",18902,18844,19979,20100,20737,22682,23857,24801,25662
1007,"Bibb, AL",16349,17530,17795,18512,19504,20874,21369,22717,24142
1009,"Blount, AL",19575,20142,21206,21234,22328,23609,24602,24952,26702
1011,"Bullock, AL",15950,15684,16756,17498,17637,18114,18371,20213,21043
1013,"Butler, AL",18238,18976,21010,21824,22571,23640,24471,25196,27141
1015,"Calhoun, AL",21470,22088,23152,24093,25135,26584,27576,28677,30231
1017,"Chambers, AL",19855,20262,21733,22233,22866,23564,24275,25611,26660
1019,"Cherokee, AL",17937,18401,19649,20012,20932,22325,23209,24196,26426
1021,"Chilton, AL",19401,19568,20941,21264,22002,23273,24522,26027,27347
1023,"Choctaw, AL",19327,19425,19901,20488,21054,21675,22000,23095,23998
1025,"Clarke, AL",19506,20259,19926,20277,21345,22876,23845,25000,26598
1027,"Clay, AL",19079,18894,20258,20748,21701,23876,25872,27309,27691
1029,"Cleburne, AL",18823,18573,20425,20458,21044,23168,24462,24727,25804
1031,"Coffee, AL",23918,24158,25310,26013,27248,29153,29755,30513,32513
1033,"Colbert, AL",20802,21478,21696,22129,23694,25099,26709,28195,29677
1035,"Conecuh, AL",19217,19565,19995,20140,20682,21665,22945,23055,24104
1037,"Coosa, AL",17639,18527,19877,20233,21746,23380,23798,25250,25643
1039,"Covington, AL",19413,19878,21485,22016,23116,24422,24769,25389,26717
1041,"Crenshaw, AL",21389,21764,22088,21380,22766,25289,27133,26513,26831
1043,"Cullman, AL",21916,22071,23495,23506,25052,26749,27954,28292,29553
1045,"Dale, AL",21115,21480,22299,23049,24026,26000,28477,30583,31277
1047,"Dallas, AL",18528,19533,20231,20860,21583,23271,24307,25893,26381
1049,"DeKalb, AL",20073,20619,21106,21301,22210,23826,23769,23937,25500
1051,"Elmore, AL",23133,24032,24019,25070,26384,27872,29037,30541,31914
1053,"Escambia, AL",18029,19027,19267,18970,19843,21192,22846,23774,24740
1055,"Etowah, AL",20832,21735,22301,23017,23835,25155,26074,26854,28472
1057,"Fayette, AL",18716,19016,19554,19185,20066,21394,22073,22872,24451
1059,"Franklin, AL",20094,20170,21273,21277,22005,23898,24902,25022,26891
1061,"Geneva, AL",20521,20174,21911,22248,23074,23823,25242,25163,26703
1063,"Greene, AL",16831,17797,18558,19031,20358,22039,23621,25481,26216
1065,"Hale, AL",16653,16325,17324,18657,20548,22142,23493,25537,26398
1067,"Henry, AL",19717,19566,21375,22407,23100,23844,26218,26791,28672
1069,"Houston, AL",24065,24872,26826,27549,28041,30154,31650,33514,34885
1071,"Jackson, AL",20511,22011,22173,22297,23462,25100,26482,27348,28691
1073,"Jefferson, AL",29060,31334,31491,32565,33810,36306,38018,40399,41498
1075,"Lamar, AL",18818,19059,20156,20351,20831,21244,22511,23217,24599
1077,"Lauderdale, AL",21652,22338,23392,23563,24343,25808,27233,28414,29827
1079,"Lawrence, AL",19750,19891,20686,20343,21832,23558,24127,25034,26758
1081,"Lee, AL",20324,20951,21333,22128,23370,25147,26092,27429,28629
1083,"Limestone, AL",21604,22599,23020,23437,25370,26086,27612,29363,30877
1085,"Lowndes, AL",16894,17704,19226,19116,20424,23249,24300,25492,27921
1087,"Macon, AL",15745,16064,16790,17208,18231,19975,20842,21884,22908
1089,"Madison, AL",27972,29802,30200,30727,31913,33835,35721,37584,39481
1091,"Marengo, AL",21374,21647,21935,22488,22901,25187,26912,28298,28968
1093,"Marion, AL",19003,18613,18899,19431,19999,22069,23690,23845,25048
1095,"Marshall, AL",21250,21907,23347,23352,24464,25757,26667,27155,28278
1097,"Mobile, AL",21410,22057,23129,23556,24179,25265,27263,29905,30670
1099,"Monroe, AL",19076,19392,20281,19927,21069,23136,24004,24664,25833
1101,"Montgomery, AL",27117,28390,28342,29538,30853,32825,34084,35322,35772
1103,"Morgan, AL",24617,25223,25729,25881,26918,28426,29511,30728,31762
1105,"Perry, AL",16627,17308,17476,17658,19133,20644,22591,23164,23670
1107,"Pickens, AL",19046,19017,20349,20599,22070,23808,25936,25459,27219
1109,"Pike, AL",21213,21092,22110,23035,24088,25999,27371,27979,29252
1111,"Randolph, AL",17985,18355,19455,20115,21182,23006,23761,24679,26639
1113,"Russell, AL",19082,19832,21584,22182,23324,23759,24527,25238,25691
1115,"St. Clair, AL",20793,21438,22565,22847,23495,25648,27420,28310,29256
1117,"Shelby, AL",32336,33097,35099,35238,35389,38172,41308,43050,45212
1119,"Sumter, AL",16762,17213,17568,18238,19143,19978,20709,21966,23464
1121,"Talladega, AL",18459,19095,20255,21415,22439,24212,25309,25733,26707
1123,"Tallapoosa, AL",21374,21744,22313,22283,23650,25484,27092,28964,30106
